año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2012,Junio,Virrey Liniers y C.Calvo,PB6,1147
2012,Junio,Billin-ghurst y Peron,PB10,2643
2012,Junio,Del Liber-tador y Montevideo,PB11,1366
2012,Junio,Corredor Norte y Casares,PB12,1855
2012,Junio,EEUU y 33 Orientales,PB32,753
2012,Junio,F. Alcorta y Derecho,PB36,1365
2012,Junio,Montev y Peron,PB37,1857
2012,Junio,Potosi y Rawson,PB39,631
2012,Junio,J. Alvarez y Padilla,PB40,414
2012,Junio,Chile y Tacuari,PB44,878
2012,Junio,Serrano y Loyola,PB45,769
2012,Junio,Gorriti y G. Cruz,PB46,1564
2012,Junio,Cnel. Diaz y Mansilla,PB48,814
2012,Junio,11 de Sep y Monroe,PB49,386
2012,Junio,Arenales y Montevideo,PB52,397
2012,Julio,Virrey Cevallos y Chile,PB1,1427
2012,Julio,Azopar-do y Mexico,PB2,570
2012,Julio,Rincon y Carlos Calvo,PB3,1240
2012,Julio,Virrey Liniers y C.Calvo,PB6,820
2012,Julio,Billin-ghurst y Peron,PB10,2035
2012,Julio,Del Liber-tador y Montevideo,PB11,1263
2012,Julio,Corredor Norte y Casares,PB12,1790
2012,Julio,EEUU y 33 Orientales,PB32,733
2012,Julio,F. Alcorta y Derecho,PB36,1446
2012,Julio,Montev y Peron,PB37,1338
2012,Julio,Potosi y Rawson,PB39,724
2012,Julio,J. Alvarez y Padilla,PB40,327
2012,Julio,Chile y Tacuari,PB44,766
2012,Julio,Serrano y Loyola,PB45,789
2012,Julio,Gorriti y G. Cruz,PB46,1580
2012,Julio,Cnel. Diaz y Mansilla,PB48,1128
2012,Julio,11 de Sep y Monroe,PB49,492
2012,Julio,Arenales y Montevideo,PB52,377
2012,Agosto,Virrey Cevallos y Chile,PB1,1499
2012,Agosto,Azopar-do y Mexico,PB2,621
2012,Agosto,Rincon y Carlos Calvo,PB3,1790
2012,Agosto,Virrey Liniers y C.Calvo,PB6,1251
2012,Agosto,Billin-ghurst y Peron,PB10,3105
2012,Agosto,Del Liber-tador y Montevideo,PB11,2022
2012,Agosto,Corredor Norte y Casares,PB12,2692
2012,Agosto,EEUU y 33 Orientales,PB32,929
2012,Agosto,F. Alcorta y Derecho,PB36,1424
2012,Agosto,Montev y Peron,PB37,1986
2012,Agosto,Potosi y Rawson,PB39,892
2012,Agosto,J. Alvarez y Padilla,PB40,558
2012,Agosto,Chile y Tacuari,PB44,761
2012,Agosto,Serrano y Loyola,PB45,873
2012,Agosto,Gorriti y G. Cruz,PB46,2093
2012,Agosto,Cnel. Diaz y Mansilla,PB48,1461
2012,Agosto,11 de Sep y Monroe,PB49,591
2012,Agosto,Arenales y Montevideo,PB52,412
2012,Septiembre,Virrey Cevallos y Chile,PB1,2040
2012,Septiembre,Azopar-do y Mexico,PB2,857
2012,Septiembre,Rincon y Carlos Calvo,PB3,1983
2012,Septiembre,Virrey Liniers y C.Calvo,PB6,1673
2012,Septiembre,Billin-ghurst y Peron,PB10,3257
2012,Septiembre,Del Liber-tador y Montevideo,PB11,1659
2012,Septiembre,Corredor Norte y Casares,PB12,2146
2012,Septiembre,EEUU y 33 Orientales,PB32,885
2012,Septiembre,F. Alcorta y Derecho,PB36,1696
2012,Septiembre,Montev y Peron,PB37,2175
2012,Septiembre,Potosi y Rawson,PB39,1023
2012,Septiembre,J. Alvarez y Padilla,PB40,753
2012,Septiembre,Chile y Tacuari,PB44,862
2012,Septiembre,Serrano y Loyola,PB45,1375
2012,Septiembre,Gorriti y G. Cruz,PB46,2238
2012,Septiembre,Cnel. Diaz y Mansilla,PB48,1536
2012,Septiembre,11 de Sep y Monroe,PB49,373
2012,Septiembre,Arenales y Montevideo,PB52,1541
2012,Octubre,Virrey Cevallos y Chile,PB1,2440
2012,Octubre,Azopar-do y Mexico,PB2,884
2012,Octubre,Rincon y Carlos Calvo,PB3,1923
2012,Octubre,Virrey Liniers y C.Calvo,PB6,1632
2012,Octubre,Billin-ghurst y Peron,PB10,3318
2012,Octubre,Del Liber-tador y Montevideo,PB11,1939
2012,Octubre,Corredor Norte y Casares,PB12,3175
2012,Octubre,EEUU y 33 Orientales,PB32,1083
2012,Octubre,F. Alcorta y Derecho,PB36,1780
