centroide,cruce,año,turno,cantidad_ciclistas,tipo_relevamiento
508,"MADERO, EDUARDO@CORDOBA",2014,mañana,33,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2014,tarde,57,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2015,mañana,31,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2015,tarde,45,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2016,mañana,22,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2016,tarde,31,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2017,mañana,22,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2017,tarde,41,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2018,mañana,97,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2018,tarde,48,macrocentro
507,TUCUMAN & MADERO EDUARDO,2013,mañana,7,macrocentro
507,TUCUMAN & MADERO EDUARDO,2013,tarde,8,macrocentro
507,TUCUMAN & MADERO EDUARDO,2014,mañana,5,macrocentro
507,TUCUMAN & MADERO EDUARDO,2014,tarde,13,macrocentro
507,TUCUMAN & MADERO EDUARDO,2015,mañana,1,macrocentro
507,TUCUMAN & MADERO EDUARDO,2015,tarde,5,macrocentro
507,TUCUMAN & MADERO EDUARDO,2016,mañana,6,macrocentro
507,TUCUMAN & MADERO EDUARDO,2016,tarde,5,macrocentro
507,TUCUMAN & MADERO EDUARDO,2017,mañana,4,macrocentro
507,TUCUMAN & MADERO EDUARDO,2017,tarde,8,macrocentro
506,BOUCHARD@LAVALLE,2013,mañana,70,macrocentro
506,BOUCHARD@LAVALLE,2013,tarde,39,macrocentro
506,BOUCHARD@LAVALLE,2014,mañana,45,macrocentro
506,BOUCHARD@LAVALLE,2014,tarde,40,macrocentro
506,BOUCHARD@LAVALLE,2015,mañana,39,macrocentro
506,BOUCHARD@LAVALLE,2015,tarde,34,macrocentro
506,BOUCHARD@LAVALLE,2016,mañana,22,macrocentro
506,BOUCHARD@LAVALLE,2016,tarde,18,macrocentro
506,BOUCHARD@LAVALLE,2017,mañana,13,macrocentro
506,BOUCHARD@LAVALLE,2017,tarde,30,macrocentro
319,AZOPARDO@MEXICO,2013,mañana,33,macrocentro
319,AZOPARDO@MEXICO,2013,tarde,42,macrocentro
319,AZOPARDO@MEXICO,2014,mañana,25,macrocentro
319,AZOPARDO@MEXICO,2014,tarde,37,macrocentro
319,AZOPARDO@MEXICO,2015,mañana,33,macrocentro
319,AZOPARDO@MEXICO,2015,tarde,41,macrocentro
319,AZOPARDO@MEXICO,2016,mañana,39,macrocentro
319,AZOPARDO@MEXICO,2016,tarde,36,macrocentro
319,AZOPARDO@MEXICO,2017,mañana,45,macrocentro
319,AZOPARDO@MEXICO,2017,tarde,50,macrocentro
337,"HUERGO, ING.@VENEZUELA",2013,mañana,1,macrocentro
337,"HUERGO, ING.@VENEZUELA",2013,tarde,2,macrocentro
337,"HUERGO, ING.@VENEZUELA",2014,mañana,4,macrocentro
337,"HUERGO, ING.@VENEZUELA",2014,tarde,1,macrocentro
337,"HUERGO, ING.@VENEZUELA",2015,mañana,1,macrocentro
337,"HUERGO, ING.@VENEZUELA",2015,tarde,3,macrocentro
337,"HUERGO, ING.@VENEZUELA",2016,mañana,0,macrocentro
337,"HUERGO, ING.@VENEZUELA",2016,tarde,5,macrocentro
337,"HUERGO, ING.@VENEZUELA",2017,mañana,1,macrocentro
337,"HUERGO, ING.@VENEZUELA",2017,tarde,0,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2013,mañana,70,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2013,tarde,82,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2014,mañana,47,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2014,tarde,78,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2015,mañana,33,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2015,tarde,101,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2016,mañana,37,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2016,tarde,46,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2017,mañana,42,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2017,tarde,56,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2018,mañana,17,macrocentro
338,"MOREAU DE JUSTO, ALICIA@VILLAFLOR, AZUCENA",2018,tarde,49,macrocentro
331,MORENO@AZOPARDO,2013,mañana,30,macrocentro
331,MORENO@AZOPARDO,2013,tarde,23,macrocentro
331,MORENO@AZOPARDO,2014,mañana,36,macrocentro
331,MORENO@AZOPARDO,2014,tarde,12,macrocentro
331,MORENO@AZOPARDO,2015,mañana,20,macrocentro
331,MORENO@AZOPARDO,2015,tarde,20,macrocentro
331,MORENO@AZOPARDO,2016,mañana,21,macrocentro
331,MORENO@AZOPARDO,2016,tarde,7,macrocentro
331,MORENO@AZOPARDO,2017,mañana,27,macrocentro
331,MORENO@AZOPARDO,2017,tarde,15,macrocentro
331,MORENO@AZOPARDO,2018,mañana,26,macrocentro
331,MORENO@AZOPARDO,2018,tarde,18,macrocentro
315,INDEPENDENCIA@PASEO COLON,2013,mañana,19,macrocentro
315,INDEPENDENCIA@PASEO COLON,2013,tarde,52,macrocentro
315,INDEPENDENCIA@PASEO COLON,2014,mañana,29,macrocentro
315,INDEPENDENCIA@PASEO COLON,2014,tarde,54,macrocentro
315,INDEPENDENCIA@PASEO COLON,2015,mañana,20,macrocentro
315,INDEPENDENCIA@PASEO COLON,2015,tarde,49,macrocentro
315,INDEPENDENCIA@PASEO COLON,2016,mañana,21,macrocentro
315,INDEPENDENCIA@PASEO COLON,2016,tarde,34,macrocentro
315,INDEPENDENCIA@PASEO COLON,2017,mañana,37,macrocentro
315,INDEPENDENCIA@PASEO COLON,2017,tarde,31,macrocentro
316,CHILE@PASEO COLON,2013,mañana,28,macrocentro
316,CHILE@PASEO COLON,2013,tarde,36,macrocentro
316,CHILE@PASEO COLON,2014,mañana,27,macrocentro
316,CHILE@PASEO COLON,2014,tarde,49,macrocentro
316,CHILE@PASEO COLON,2015,mañana,24,macrocentro
316,CHILE@PASEO COLON,2015,tarde,38,macrocentro
316,CHILE@PASEO COLON,2016,mañana,12,macrocentro
316,CHILE@PASEO COLON,2016,tarde,30,macrocentro
316,CHILE@PASEO COLON,2017,mañana,32,macrocentro
316,CHILE@PASEO COLON,2017,tarde,30,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2013,mañana,51,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2013,tarde,76,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2014,mañana,48,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2014,tarde,66,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2015,mañana,65,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2015,tarde,81,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2016,mañana,59,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2016,tarde,53,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2017,mañana,61,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2017,tarde,74,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2018,mañana,49,macrocentro
334,AZOPARDO@ESTADOS UNIDOS,2018,tarde,59,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2013,mañana,10,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2013,tarde,12,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2014,mañana,14,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2014,tarde,17,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2015,mañana,10,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2015,tarde,26,macrocentro
335,"INDEPENDENCIA@HUERGO, ING.",2016,mañana,5,macrocentro
